GENE	OCCURRENCE	SOURCE
DKK3	1	ONCOKB
DKK4	1	ONCOKB
DLL3	1	ONCOKB
DPYD	1	ONCOKB
DUSP2	1	ONCOKB
DUSP9	1	ONCOKB
ECSIT	1	ONCOKB
EGR2	1	ONCOKB
EIF2B1	1	ONCOKB
ELL2	1	ONCOKB
ELP2	1	ONCOKB
ERCC1	1	ONCOKB
ERCC6	1	ONCOKB
ESCO1	1	ONCOKB
EXOSC6	1	ONCOKB
EXT2	1	ONCOKB
FAF1	1	ONCOKB
FANCB	1	ONCOKB
FANCI	1	ONCOKB
FANCM	1	ONCOKB
FAT4	1	ONCOKB
FBXO31	1	ONCOKB
FBXW2	1	ONCOKB
FGF1	1	ONCOKB
FGF12	1	ONCOKB
FGF2	1	ONCOKB
FGF5	1	ONCOKB
FGF7	1	ONCOKB
FGF8	1	ONCOKB
FGF9	1	ONCOKB
FIP1L1	1	ONCOKB
FLYWCH1	1	ONCOKB
FNBP1	1	ONCOKB
FOLH1	1	ONCOKB
FOLR1	1	ONCOKB
FOXN4	1	ONCOKB
FSTL1	1	ONCOKB
FZR1	1	ONCOKB
GADD45B	1	ONCOKB
GEN1	1	ONCOKB
GMPS	1	ONCOKB
GOLGA5	1	ONCOKB
GOPC	1	ONCOKB
GRB7	1	ONCOKB
GSTO1	1	ONCOKB
GSTP1	1	ONCOKB
GTSE1	1	ONCOKB
H3C15	1	ONCOKB
H3P6	1	ONCOKB
H4C6	1	ONCOKB
HDAC2	1	ONCOKB
HFE	1	ONCOKB
HNF1B	1	ONCOKB
HNRNPA2B1	1	ONCOKB
HOOK3	1	ONCOKB
HOXA3	1	ONCOKB
HSD17B2	1	ONCOKB
HTATIP2	1	ONCOKB
ID1	1	ONCOKB
IFNAR1	1	ONCOKB
IKBKB	1	ONCOKB
IKZF2	1	ONCOKB
IL2	1	ONCOKB
ING1	1	ONCOKB
INPP5D	1	ONCOKB
INTS6	1	ONCOKB
IQGAP1	1	ONCOKB
IRS4	1	ONCOKB
ITPKB	1	ONCOKB
KAT6B	1	ONCOKB
KAT7	1	ONCOKB
KCNJ5	1	ONCOKB
KDM2B	1	ONCOKB
KDM4C	1	ONCOKB
KDM5D	1	ONCOKB
KIAA1549	1	ONCOKB
KLF2	1	ONCOKB
KLF3	1	ONCOKB
KLF6	1	ONCOKB
KLK2	1	ONCOKB
KNL1	1	ONCOKB
KTN1	1	ONCOKB
L1TD1	1	ONCOKB
LARP4B	1	ONCOKB
LCP1	1	ONCOKB
LGR5	1	ONCOKB
LIFR	1	ONCOKB
LRIG3	1	ONCOKB
LRP5	1	ONCOKB
LRP6	1	ONCOKB
LRRK2	1	ONCOKB
LZTS1	1	ONCOKB
MAGED1	1	ONCOKB
MAGI2	1	ONCOKB
MAL2	1	ONCOKB
MAP3K21	1	ONCOKB
MAP3K6	1	ONCOKB
MAP4K4	1	ONCOKB
MBD4	1	ONCOKB
MBD6	1	ONCOKB
MDS2	1	ONCOKB
MEF2D	1	ONCOKB
MIB1	1	ONCOKB
MIDEAS	1	ONCOKB
MKNK1	1	ONCOKB
MLH3	1	ONCOKB
MLLT11	1	ONCOKB
MNX1	1	ONCOKB
MS4A1	1	ONCOKB
MTCP1	1	ONCOKB
MTHFD2	1	ONCOKB
MTHFR	1	ONCOKB
MYBL1	1	ONCOKB
MYO18A	1	ONCOKB
NACA	1	ONCOKB
NBEAP1	1	ONCOKB
NCOA1	1	ONCOKB
NFIB	1	ONCOKB
NFKBIE	1	ONCOKB
NHERF1	1	ONCOKB
NOD1	1	ONCOKB
NONO	1	ONCOKB
NQO1	1	ONCOKB
NUTM2A	1	ONCOKB
NUTM2B	1	ONCOKB
NUTM2D	1	ONCOKB
OGA	1	ONCOKB
OGT	1	ONCOKB
OLIG2	1	ONCOKB
OMD	1	ONCOKB
ONECUT2	1	ONCOKB
PAG1	1	ONCOKB
PARP2	1	ONCOKB
PARP3	1	ONCOKB
PASK	1	ONCOKB
PATZ1	1	ONCOKB
PC	1	ONCOKB
PCLO	1	ONCOKB
PCSK7	1	ONCOKB
PDCD11	1	ONCOKB
PHF1	1	ONCOKB
PHF19	1	ONCOKB
PHLPP1	1	ONCOKB
PHLPP2	1	ONCOKB
POLG	1	ONCOKB
POLH	1	ONCOKB
POLQ	1	ONCOKB
POU2F2	1	ONCOKB
POU3F2	1	ONCOKB
POU3F4	1	ONCOKB
POU5F1	1	ONCOKB
PPFIBP1	1	ONCOKB
PPP1CB	1	ONCOKB
PRF1	1	ONCOKB
PRKCB	1	ONCOKB
PRPF8	1	ONCOKB
PRSS1	1	ONCOKB
PRSS8	1	ONCOKB
PSMB2	1	ONCOKB
PTK6	1	ONCOKB
PTPN14	1	ONCOKB
PTPN6	1	ONCOKB
PTPRB	1	ONCOKB
PTPRC	1	ONCOKB
PTPRK	1	ONCOKB
PUM1	1	ONCOKB
RAD17	1	ONCOKB
RALGDS	1	ONCOKB
RASGEF1A	1	ONCOKB
RELA	1	ONCOKB
REV3L	1	ONCOKB
RIOK2	1	ONCOKB
RMI2	1	ONCOKB
RNASEH2A	1	ONCOKB
RNASEH2B	1	ONCOKB
RNF217-AS1	1	ONCOKB
RPL10	1	ONCOKB
RPS15	1	ONCOKB
RPS6KB1	1	ONCOKB
RUNX2	1	ONCOKB
S1PR2	1	ONCOKB
SALL4	1	ONCOKB
SAMD9	1	ONCOKB
SAMD9L	1	ONCOKB
SBDS	1	ONCOKB
SEC31A	1	ONCOKB
SEPTIN5	1	ONCOKB
SEPTIN6	1	ONCOKB
SEPTIN9	1	ONCOKB
SERP2	1	ONCOKB
SF3B2	1	ONCOKB
SFPQ	1	ONCOKB
SFRP1	1	ONCOKB
SFRP2	1	ONCOKB
SFRP4	1	ONCOKB
SIX1	1	ONCOKB
SLC1A2	1	ONCOKB
SLC45A3	1	ONCOKB
SLIT2	1	ONCOKB
SLIT3	1	ONCOKB
SNCAIP	1	ONCOKB
SND1	1	ONCOKB
SNX29	1	ONCOKB
SOCS2	1	ONCOKB
SQSTM1	1	ONCOKB
SRP72	1	ONCOKB
SS18L1	1	ONCOKB
STAT1	1	ONCOKB
STAT2	1	ONCOKB
STIL	1	ONCOKB
STRN	1	ONCOKB
SZT2	1	ONCOKB
TACSTD2	1	ONCOKB
TCEA1	1	ONCOKB
TCF12	1	ONCOKB
TCL1B	1	ONCOKB
TEC	1	ONCOKB
TERC	1	ONCOKB
TFEB	1	ONCOKB
TFPT	1	ONCOKB
TFRC	1	ONCOKB
TIGAR	1	ONCOKB
TIPARP	1	ONCOKB
TLE1	1	ONCOKB
TLE2	1	ONCOKB
TLE3	1	ONCOKB
TLE4	1	ONCOKB
TLL2	1	ONCOKB
TMEM30A	1	ONCOKB
TMSB4XP8	1	ONCOKB
TNFRSF11A	1	ONCOKB
TNFSF13	1	ONCOKB
TONSL	1	ONCOKB
TOP2A	1	ONCOKB
TPMT	1	ONCOKB
TPR	1	ONCOKB
TRIB3	1	ONCOKB
TRIM33	1	ONCOKB
TRRAP	1	ONCOKB
TTL	1	ONCOKB
TUSC3	1	ONCOKB
TYMS	1	ONCOKB
TYRO3	1	ONCOKB
UBA1	1	ONCOKB
UBE2A	1	ONCOKB
UBTF	1	ONCOKB
UCHL1	1	ONCOKB
USP1	1	ONCOKB
VEGFB	1	ONCOKB
WAS	1	ONCOKB
WDCP	1	ONCOKB
WDR90	1	ONCOKB
WEE1	1	ONCOKB
WWP1	1	ONCOKB
XRCC1	1	ONCOKB
YPEL5	1	ONCOKB
YY1	1	ONCOKB
YY1AP1	1	ONCOKB
ZBTB20	1	ONCOKB
ZFP36L1	1	ONCOKB
ZFP36L2	1	ONCOKB
ZNF24	1	ONCOKB
ZNF292	1	ONCOKB
ZNF331	1	ONCOKB
ZNF750	1	ONCOKB
TP53	NA	cust087
DLEU1	NA	cust087
DLEU2	NA	cust087
RB1	NA	cust087
KMT2D	NA	cust087
KMT2A	NA	cust087
ATM	NA	cust087
